WKT,route,district,route_type,degree,start_E,start_N,end_E,end_N
"LINESTRING (836649.834649824 815763.001222905,836641.65159632 815774.074437509,836641.65159632 815774.074437509,836633.406746227 815784.040313494,836633.406746227 815784.040313494,836609.187792305 815802.864563613,836609.187792305 815802.864563613,836605.786822579 815806.186513238,836605.786822579 815806.186513238,836602.282772759 815810.615802987,836602.282772759 815810.615802987,836599.190954506 815815.045102435,836599.190954506 815815.045102435,836596.305248001 815819.695875252,836596.305248001 815819.695875252,836593.635887718 815827.923366698,836593.635887718 815827.923366698,836591.605393676 815840.491651401,836591.605393676 815840.491651401,836591.6464234 815849.649367775,836591.6464234 815849.649367775,836593.223083717 815855.042155028,836593.223083717 815855.042155028,836594.459695995 815858.486013888,836594.459695995 815858.486013888,836598.272634723 815866.580763148,836598.272634723 815866.580763148,836603.198598855 815874.044352915,836603.198598855 815874.044352915,836605.514511251 815876.221831307)",787-7882,HK,MAJOR_ROUTE,4,836649.834649824,815763.001222905,836605.514511251,815876.221831307
"LINESTRING (836605.514511251 815876.221831307,836615.977395004 815886.059294649,836615.977395004 815886.059294649,836626.303527781 815893.390134168,836626.303527781 815893.390134168,836639.587394331 815900.2006012,836639.587394331 815900.2006012,836655.045776677 815905.848425368,836655.045776677 815905.848425368,836669.473612045 815910.278162081,836669.473612045 815910.278162081,836684.798040585 815914.420027583,836684.798040585 815914.420027583,836699.081642156 815916.635104374,836699.081642156 815916.635104374,836721.414061954 815915.672358238)",7882-7891,HK,MAJOR_ROUTE,3,836605.514511251,815876.221831307,836721.414061954,815915.672358238
"LINESTRING (836712.303825883 815420.406056122,836717.230038933 815559.462613381,836717.230038933 815559.462613381,836717.229694454 815571.277945207,836717.229694454 815571.277945207,836717.177761436 815585.119710332,836717.177761436 815585.119710332,836716.703439865 815593.723738761,836716.703439865 815593.723738761,836715.899448147 815598.285961741,836715.899448147 815598.285961741,836677.579495424 815699.019743606,836677.579495424 815699.019743606,836665.984643145 815730.301836689,836665.984643145 815730.301836689,836654.833143383 815755.316397446,836654.833143383 815755.316397446,836649.834649824 815763.001222905)",50099-787,HK,MAJOR_ROUTE,4,836712.303825883,815420.406056122,836649.834649824,815763.001222905
"LINESTRING (836654.833143383 815755.316397446,836654.833143383 815755.316397446,836654.833143383 815755.316397446,836649.834649824 815763.001222905)",50099-787,HK,MAJOR_ROUTE,4,836712.303825883,815420.406056122,836649.834649824,815763.001222905
"LINESTRING (836586.852380786 815154.410984806,836618.126589494 815187.714565505,836618.126589494 815187.714565505,836668.604622655 815245.773680435,836668.604622655 815245.773680435,836685.815178359 815270.024904501,836685.815178359 815270.024904501,836690.061061497 815278.418664759,836690.061061497 815278.418664759,836693.255688414 815287.919738163,836693.255688414 815287.919738163,836695.656736673 815297.653331873,836695.656736673 815297.653331873,836697.738364965 815304.828959439,836697.738364965 815304.828959439,836702.427090017 815323.975016988,836702.427090017 815323.975016988,836705.796697532 815340.70703534,836705.796697532 815340.70703534,836707.583675866 815356.881658918)",781-50098,HK,MAJOR_ROUTE,2,836586.852380786,815154.410984806,836707.583675866,815356.881658918
"LINESTRING (836610.526242776 814749.936064968,836604.562559886 814769.062003769,836604.562559886 814769.062003769,836601.335690619 814778.772939653)",4647-46478,HK,MAJOR_ROUTE,1,836610.526242776,814749.936064968,836601.335690619,814778.772939653
"LINESTRING (836601.335690619 814778.772939653,836597.460969995 814790.433518507,836597.460969995 814790.433518507,836540.226355529 814956.045667485)",46478-46479,HK,MAJOR_ROUTE,2,836601.335690619,814778.772939653,836540.226355529,814956.045667485
"LINESTRING (836540.226355529 814956.045667485,836536.835541424 814965.857212755,836536.835541424 814965.857212755,836533.320840913 814980.374386496,836533.320840913 814980.374386496,836530.506961014 814995.655638302,836530.506961014 814995.655638302,836529.78514391 815017.702777845,836529.78514391 815017.702777845,836530.836066666 815036.117870938,836530.836066666 815036.117870938,836532.082870929 815050.745862717,836532.082870929 815050.745862717,836535.308477783 815064.930953004,836535.308477783 815064.930953004,836539.678032329 815081.231085222,836539.678032329 815081.231085222,836544.470217905 815092.80288164,836544.470217905 815092.80288164,836559.825934474 815121.527585667,836559.825934474 815121.527585667,836570.008178872 815135.712818314,836570.008178872 815135.712818314,836581.221052967 815148.414242179,836581.221052967 815148.414242179,836586.852380786 815154.410984806)",46479-781,HK,MAJOR_ROUTE,2,836540.226355529,814956.045667485,836586.852380786,815154.410984806
"LINESTRING (836707.583675866 815356.881658918,836708.238600541 815362.809632352,836708.238600541 815362.809632352,836711.08222678 815392.032445099,836711.08222678 815392.032445099,836711.6177881 815404.246432957,836711.6177881 815404.246432957,836712.246035875 815418.77476664,836712.246035875 815418.77476664,836712.303825883 815420.406056122)",50098-50099,HK,MAJOR_ROUTE,2,836707.583675866,815356.881658918,836712.303825883,815420.406056122
"LINESTRING (836649.834649824 815763.001222905,836640.724224998 815767.984036379,836640.724224998 815767.984036379,836633.407088471 815769.644873037,836633.407088471 815769.644873037,836626.193067978 815768.869564097,836626.193067978 815768.869564097,836582.909182301 815751.92628944,836582.909182301 815751.92628944,836462.074489128 815705.71491578,836462.074489128 815705.71491578,836400.116128402 815685.350237914)",787-50179,HK,MAJOR_ROUTE,5,836649.834649824,815763.001222905,836400.116128402,815685.350237914
