WKT,route,district,route_type,degree,start_E,start_N,end_E,end_N
"LINESTRING (834920.887127103 818627.131754263,834916.731761129 818723.049998029,834916.731761129 818723.049998029,834913.143197139 818809.057816939,834913.143197139 818809.057816939,834902.845415352 818877.359777052,834902.845415352 818877.359777052,834895.170678615 818894.734700116,834895.170678615 818894.734700116,834887.88726415 818909.4519636,834887.88726415 818909.4519636,834877.79099018 818924.523831662,834877.79099018 818924.523831662,834862.130892348 818941.135417123,834862.130892348 818941.135417123,834844.615462232 818949.995769253,834844.615462232 818949.995769253,834825.038931289 818954.648418746,834825.038931289 818954.648418746,834823.440621805 818954.7389744)",3006-30069,K,URBAN_ROAD,2,834920.887127103,818627.131754263,834823.440621805,818954.7389744
"LINESTRING (836588.406083812 817767.315373885,836580.910078307 817761.055761136,836580.910078307 817761.055761136,836567.751537699 817748.620024942,836567.751537699 817748.620024942,836508.93451489 817696.009073551,836508.93451489 817696.009073551,836499.093850576 817687.593107476,836499.093850576 817687.593107476,836486.883229 817672.942767285,836486.883229 817672.942767285,836450.539635582 817638.780728756,836450.539635582 817638.780728756,836447.110929048 817636.153250426)",3457-3664,K,MAJOR_ROUTE,2,836588.406083812,817767.315373885,836447.110929048,817636.153250426
"LINESTRING (836097.194064885 817365.690678083,836084.591581525 817359.287080817,836084.591581525 817359.287080817,836035.983987293 817342.600048134,836035.983987293 817342.600048134,836005.409698167 817332.900195696,836005.409698167 817332.900195696,835977.875316215 817325.747237375,835977.875316215 817325.747237375,835955.369663034 817320.565298898,835955.369663034 817320.565298898,835947.66716488 817319.399538683)",3458-88819,K,URBAN_ROAD,2,836097.194064885,817365.690678083,835947.66716488,817319.399538683
"LINESTRING (835807.939221222 817300.454567255,835799.818960507 817300.061152834,835799.818960507 817300.061152834,835785.062512678 817298.865668343,835785.062512678 817298.865668343,835767.616567666 817299.143050053,835767.616567666 817299.143050053,835740.669601831 817298.357717754,835740.669601831 817298.357717754,835691.835297986 817296.775933099,835691.835297986 817296.775933099,835685.539113542 817297.396277887,835685.539113542 817297.396277887,835678.366989404 817297.064342752,835678.366989404 817297.064342752,835670.875468025 817298.061235217,835670.875468025 817298.061235217,835660.364573569 817296.987515716,835660.364573569 817296.987515716,835650.142235351 817296.533904275,835650.142235351 817296.533904275,835642.516795183 817298.571718509,835642.516795183 817298.571718509,835633.242644467 817301.805534072,835633.242644467 817301.805534072,835632.73374426 817302.020845921)",3459-3615,K,URBAN_ROAD,2,835807.939221222,817300.454567255,835632.73374426,817302.020845921
"LINESTRING (835580.852135169 817480.992574793,835580.77875581 817482.504069626,835580.77875581 817482.504069626,835561.017182912 817542.733373556,835561.017182912 817542.733373556,835551.600527719 817580.892867892,835551.600527719 817580.892867892,835547.262874784 817593.30639096,835547.262874784 817593.30639096,835541.513785844 817611.777151586,835541.513785844 817611.777151586,835510.151521029 817710.642301236,835510.151521029 817710.642301236,835503.228083427 817734.716295902,835503.228083427 817734.716295902,835497.59251949 817754.637690807,835497.59251949 817754.637690807,835493.687715881 817766.464317606,835493.687715881 817766.464317606,835487.702137336 817792.653301485,835487.702137336 817792.653301485,835478.449874524 817814.76742662,835478.449874524 817814.76742662,835470.918117121 817829.894128748,835470.918117121 817829.894128748,835461.438800812 817844.19042694,835461.438800812 817844.19042694,835440.141076469 817871.830848952,835440.141076469 817871.830848952,835421.326457781 817895.986682931)",3460-78201,K,URBAN_ROAD,2,835580.852135169,817480.992574793,835421.326457781,817895.986682931
"LINESTRING (834913.336155028 818204.344190094,834909.495020754 818209.740893002,834909.495020754 818209.740893002,834904.252222484 818232.818411829,834904.252222484 818232.818411829,834903.554445914 818266.049885587,834903.554445914 818266.049885587,834905.36153026 818310.310295065,834905.36153026 818310.310295065,834921.230933757 818442.58125409,834921.230933757 818442.58125409,834924.27976 818548.81966543,834924.27976 818548.81966543,834920.887127103 818627.131754263)",3470-3006,K,URBAN_ROAD,2,834913.336155028,818204.344190094,834920.887127103,818627.131754263
"LINESTRING (835632.73374426 817302.020845921,835626.070659069 817304.839947141,835626.070659069 817304.839947141,835619.610732515 817332.734195128,835619.610732515 817332.734195128,835604.794980129 817390.781762736,835604.794980129 817390.781762736,835602.322257966 817400.316095702,835602.322257966 817400.316095702,835590.81372805 817442.174176913,835590.81372805 817442.174176913,835584.837698856 817457.655100352,835584.837698856 817457.655100352,835581.324408929 817471.264507445,835581.324408929 817471.264507445,835580.852135169 817480.992574793)",3615-3460,K,URBAN_ROAD,2,835632.73374426,817302.020845921,835580.852135169,817480.992574793
"LINESTRING (836447.110929048 817636.153250426,836422.202394394 817617.065400714,836422.202394394 817617.065400714,836395.812612609 817598.107427347,836395.812612609 817598.107427347,836368.309896044 817575.705652416,836368.309896044 817575.705652416,836316.622314673 817528.853675179,836316.622314673 817528.853675179,836294.745677695 817509.574761521,836294.745677695 817509.574761521,836257.236857093 817476.852725098,836257.236857093 817476.852725098,836225.972515269 817449.14703066,836225.972515269 817449.14703066,836201.519490162 817430.831645073,836201.519490162 817430.831645073,836177.499210113 817413.6014926,836177.499210113 817413.6014926,836155.776842885 817399.206161009,836155.776842885 817399.206161009,836114.207482575 817374.335567498,836114.207482575 817374.335567498,836097.194064885 817365.690678083)",3664-3458,K,URBAN_ROAD,2,836447.110929048,817636.153250426,836097.194064885,817365.690678083
"LINESTRING (837032.816948271 817998.075939279,837029.276762537 817982.329809246,837029.276762537 817982.329809246,837021.127311219 817956.594729293,837021.127311219 817956.594729293,837010.638554447 817934.890274782,837010.638554447 817934.890274782,836995.698289076 817913.18561768,836995.698289076 817913.18561768,836980.160022222 817898.136086402,836980.160022222 817898.136086402,836959.284070452 817882.887009257,836959.284070452 817882.887009257,836943.601200315 817874.160443632,836943.601200315 817874.160443632,836928.825009622 817867.504666209,836928.825009622 817867.504666209,836872.666960169 817846.451753394,836872.666960169 817846.451753394,836861.043770821 817842.088366682,836861.043770821 817842.088366682,836833.077803857 817837.513986202,836833.077803857 817837.513986202,836795.353828372 817824.811413603,836795.353828372 817824.811413603,836780.103410385 817821.588528258,836780.103410385 817821.588528258,836764.492307367 817819.118640225,836764.492307367 817819.118640225,836726.025984985 817817.445359065,836726.025984985 817817.445359065,836690.331576567 817814.5098766,836690.331576567 817814.5098766,836669.650717387 817810.567177811,836669.650717387 817810.567177811,836654.070541048 817806.425311873,836654.070541048 817806.425311873,836635.31666699 817799.227115746,836635.31666699 817799.227115746,836619.633515906 817791.154210512,836619.633515906 817791.154210512,836605.588785119 817781.663956753,836605.588785119 817781.663956753,836588.406083812 817767.315373885)",3715-3457,K,MAJOR_ROUTE,2,837032.816948271,817998.075939279,836588.406083812,817767.315373885
"LINESTRING (835421.326457781 817895.986682931,835407.416683873 817913.845253161,835407.416683873 817913.845253161,835396.855409711 817926.137358585,835396.855409711 817926.137358585,835390.230231217 817935.284392327,835390.230231217 817935.284392327,835376.413873133 817966.091491068,835376.413873133 817966.091491068,835364.536054789 818019.0121573,835364.536054789 818019.0121573,835358.128898669 818055.211616069,835358.128898669 818055.211616069,835352.259058046 818079.051079499)",78201-88820,K,URBAN_ROAD,2,835421.326457781,817895.986682931,835352.259058046,818079.051079499
"LINESTRING (836977.484162016 818413.353686206,836991.976372762 818396.840299244,836991.976372762 818396.840299244,837009.107135288 818365.612148316)",88818-888181,K,URBAN_ROAD,2,836977.484162016,818413.353686206,837009.107135288,818365.612148316
"LINESTRING (835947.66716488 817319.399538683,835937.666058938 817317.885888022,835937.666058938 817317.885888022,835914.892506625 817314.896553787,835914.892506625 817314.896553787,835898.373969167 817313.667781078,835898.373969167 817313.667781078,835889.040814281 817312.852266265)",88819-888191,K,URBAN_ROAD,2,835947.66716488,817319.399538683,835889.040814281,817312.852266265
"LINESTRING (835352.259058046 818079.051079499,835349.022109737 818092.197451915,835349.022109737 818092.197451915,835347.539736407 818116.592337299,835347.539736407 818116.592337299,835348.779835531 818138.019457067)",88820-888201,K,URBAN_ROAD,2,835352.259058046,818079.051079499,835348.779835531,818138.019457067
"LINESTRING (837009.107135288 818365.612148316,837015.842610874 818353.333859601,837015.842610874 818353.333859601,837023.118013035 818338.252178014,837023.118013035 818338.252178014,837030.064338481 818310.192404003,837030.064338481 818310.192404003,837035.537369485 818278.755159562,837035.537369485 818278.755159562,837036.856914256 818266.308671336,837036.856914256 818266.308671336,837038.187357115 818241.98037624,837038.187357115 818241.98037624,837038.972260679 818206.091377407,837038.972260679 818206.091377407,837041.261276326 818176.237482826,837041.261276326 818176.237482826,837043.488856529 818138.78720333,837043.488856529 818138.78720333,837043.479838475 818113.14110511,837043.479838475 818113.14110511,837042.255075357 818084.405455783,837042.255075357 818084.405455783,837040.133851807 818055.381853141,837040.133851807 818055.381853141,837037.538555876 818027.720261666,837037.538555876 818027.720261666,837034.355665083 818004.919883866,837034.355665083 818004.919883866,837032.816948271 817998.075939279)",888181-3715,K,URBAN_ROAD,2,837009.107135288,818365.612148316,837032.816948271,817998.075939279
"LINESTRING (835889.040814281 817312.852266265,835860.112355746 817310.324547958,835860.112355746 817310.324547958,835818.96542667 817308.077761047,835818.96542667 817308.077761047,835812.071527365 817307.358186141,835812.071527365 817307.358186141,835812.153771176 817300.658755863,835812.153771176 817300.658755863,835807.939221222 817300.454567255)",888191-3459,K,URBAN_ROAD,2,835889.040814281,817312.852266265,835807.939221222,817300.454567255
"LINESTRING (835348.779835531 818138.019457067,835349.282918577 818146.712004681,835349.282918577 818146.712004681,835354.426624072 818179.433733877,835354.426624072 818179.433733877,835356.076316182 818196.996122156,835356.076316182 818196.996122156,835355.778248746 818209.907777224,835355.778248746 818209.907777224,835355.500715138 818221.534911557,835355.500715138 818221.534911557,835333.604311217 818219.974848926,835333.604311217 818219.974848926,835277.992525716 818215.194543378,835277.992525716 818215.194543378,835263.649050885 818213.678396429,835263.649050885 818213.678396429,835240.753082355 818211.487342353,835240.753082355 818211.487342353,835209.159655219 818198.289903853,835209.159655219 818198.289903853,835098.347736717 818185.419390381,835098.347736717 818185.419390381,835070.649954957 818183.17357981,835070.649954957 818183.17357981,835028.618532957 818174.284882309,835028.618532957 818174.284882309,834999.869698565 818172.083575012,834999.869698565 818172.083575012,834968.091656511 818172.639860678,834968.091656511 818172.639860678,834936.025779017 818181.158043164,834936.025779017 818181.158043164,834922.208807068 818191.878323595,834922.208807068 818191.878323595,834913.336155028 818204.344190094)",888201-3470,K,URBAN_ROAD,2,835348.779835531,818138.019457067,834913.336155028,818204.344190094
"LINESTRING (838680.804437584 821720.424439813,838694.45427083 821725.720201128,838694.45427083 821725.720201128,838786.464370463 821761.391512191,838786.464370463 821761.391512191,838847.931133619 821785.918326197,838847.931133619 821785.918326197,838864.79402658 821792.653823607,838864.79402658 821792.653823607,838891.731645688 821801.72754753,838891.731645688 821801.72754753,838910.521144748 821807.223189921,838910.521144748 821807.223189921,838931.659621602 821811.622982859,838931.659621602 821811.622982859,838942.610159365 821813.02012781,838942.610159365 821813.02012781,838953.210442819 821814.372925861,838953.210442819 821814.372925861,838970.476010398 821815.472201146,838970.476010398 821815.472201146,839014.938398929 821815.635043181,839014.938398929 821815.635043181,839023.365492198 821814.230205028,839023.365492198 821814.230205028,839048.669094471 821800.48144636,839048.669094471 821800.48144636,839060.805594105 821794.880441163,839060.805594105 821794.880441163,839072.560892109 821789.433446259)",3393-88817,K,MAJOR_ROUTE,2,838680.804437584,821720.424439813,839072.560892109,821789.433446259
"LINESTRING (838185.56145148 821426.306345701,838193.615793754 821434.339651426,838193.615793754 821434.339651426,838214.114120985 821455.736186635,838214.114120985 821455.736186635,838260.322892604 821502.516464181,838260.322892604 821502.516464181,838265.638082025 821507.389482484,838265.638082025 821507.389482484,838286.219152704 821524.766449658,838286.219152704 821524.766449658,838306.182295057 821540.360531777,838306.182295057 821540.360531777,838324.899108456 821554.105202029,838324.899108456 821554.105202029,838351.352010388 821572.51287123,838351.352010388 821572.51287123,838369.656772044 821585.493469941,838369.656772044 821585.493469941,838391.906794054 821600.955091833,838391.906794054 821600.955091833,838413.209464754 821613.039200899,838413.209464754 821613.039200899,838446.925164372 821630.218883936,838446.925164372 821630.218883936,838469.062650951 821639.158316734,838469.062650951 821639.158316734,838472.997761657 821640.620576482,838472.997761657 821640.620576482,838519.34334139 821658.389114031,838519.34334139 821658.389114031,838593.883621472 821685.33084387,838593.883621472 821685.33084387,838675.180718839 821718.242591022,838675.180718839 821718.242591022,838680.804437584 821720.424439813)",3395-3393,K,MAJOR_ROUTE,2,838185.56145148,821426.306345701,838680.804437584,821720.424439813
"LINESTRING (837785.664400753 821021.496686047,837793.514937282 821030.36764947,837793.514937282 821030.36764947,837803.352803702 821038.596217512,837803.352803702 821038.596217512,837871.845841002 821104.457149169,837871.845841002 821104.457149169,837900.565665219 821131.114019337,837900.565665219 821131.114019337,837964.91711613 821195.900986916)",3417-3681,K,URBAN_ROAD,2,837785.664400753,821021.496686047,837964.91711613,821195.900986916
"LINESTRING (837531.687061821 820884.645298189,837543.459010515 820891.61648378,837543.459010515 820891.61648378,837566.071682797 820904.076026771,837566.071682797 820904.076026771,837583.275910866 820912.637277881,837583.275910866 820912.637277881,837605.394154917 820923.391520643,837605.394154917 820923.391520643,837637.10365994 820936.350262417,837637.10365994 820936.350262417,837719.158754775 820969.434217017,837719.158754775 820969.434217017,837743.254526276 820983.787723194,837743.254526276 820983.787723194,837757.429559518 820993.699844364,837757.429559518 820993.699844364,837768.10186692 821002.83649536,837768.10186692 821002.83649536,837776.435580276 821011.563207107,837776.435580276 821011.563207107,837784.439628291 821020.112715451,837784.439628291 821020.112715451,837785.664400753 821021.496686047)",3419-3417,K,URBAN_ROAD,2,837531.687061821,820884.645298189,837785.664400753,821021.496686047
"LINESTRING (836966.983719204 820564.960354875,836967.519436094 820565.211136526,836967.519436094 820565.211136526,836990.452480555 820576.48498968,836990.452480555 820576.48498968,837036.503867458 820600.007272989,837036.503867458 820600.007272989,837105.560221782 820632.699760692,837105.560221782 820632.699760692,837153.671780148 820656.122843304,837153.671780148 820656.122843304,837157.576331076 820658.016631834,837157.576331076 820658.016631834,837168.41030594 820663.822761293)",3488-3489,K,URBAN_ROAD,2,836966.983719204,820564.960354875,837168.41030594,820663.822761293
"LINESTRING (837168.41030594 820663.822761293,837171.66975266 820665.569559661,837171.66975266 820665.569559661,837184.897704755 820673.864371882,837184.897704755 820673.864371882,837201.092639545 820684.274408125,837201.092639545 820684.274408125,837223.149491802 820697.718954795,837223.149491802 820697.718954795,837285.559417177 820738.019315701,837285.559417177 820738.019315701,837293.430173767 820743.102561274,837293.430173767 820743.102561274,837303.351042965 820749.293295622,837303.351042965 820749.293295622,837315.054145583 820756.746533241,837315.054145583 820756.746533241,837326.355462963 820763.878621417,837326.355462963 820763.878621417,837337.491938321 820770.899971707,837337.491938321 820770.899971707,837352.836468977 820780.58705163)",3489-88816,K,URBAN_ROAD,2,837168.41030594,820663.822761293,837352.836468977,820780.58705163
